Exercício: 2014;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;
Tabela: Despesas por Função (Anexo I-E);;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;Despesas (Exceto Intraorçamentárias);siconfi-cor_TotalDespesas;26634906,39
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;01 - Legislativa;siconfi-cor_TotalDespesas;992119,08
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;01.031 - Ação Legislativa;siconfi-cor_TotalDespesas;992119,08
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;02 - Judiciária;siconfi-cor_TotalDespesas;121766,81
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;02.061 - Ação Judiciária;siconfi-cor_TotalDespesas;121766,81
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;04 - Administração;siconfi-cor_TotalDespesas;4116194,35
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;04.122 - Administração Geral;siconfi-cor_TotalDespesas;3198167,49
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;04.123 - Administração Financeira;siconfi-cor_TotalDespesas;918026,86
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;08 - Assistência Social;siconfi-cor_TotalDespesas;1543504,62
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;08.241 - Assistência ao Idoso;siconfi-cor_TotalDespesas;19320
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;08.243 - Assistência à Criança e ao Adolescente;siconfi-cor_TotalDespesas;170241,93
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;08.244 - Assistência Comunitária;siconfi-cor_TotalDespesas;775344,55
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;08.999 - Demais Subfunções Assistência Social;siconfi-cor_TotalDespesas;578598,14
Prefeitura Municipal de Barra de São Miguel - AL;2700607;AL;8191;Despesas Empenhadas;10 - Saúde;siconfi-cor_TotalDespesas;5589350,9
