Exercício: 2016;;;;;;;;
Escopo: Municípios do Estado - AL;;;;;;;;
Tabela: Receitas Orçamentárias (Anexo I-C);;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta; Valor ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;Total Receitas;siconfi-cor_TotalReceitas; R$ 2.260.490.149,92 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.0.0.0.00.00.00 - Receitas Correntes;siconfi-cor_RO1.0.0.0.00.00.00; R$ 2.060.746.863,84 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.0.0.00.00.00 - Receita Tributária;siconfi-cor_RO1.1.0.0.00.00.00; R$ 420.942.336,79 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.0.00.00.00 - Impostos;siconfi-cor_RO1.1.1.0.00.00.00; R$ 370.850.499,73 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;siconfi-cor_RO1.1.1.2.00.00.00; R$ 181.920.757,58 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;siconfi-cor_RO1.1.1.2.02.00.00; R$ 97.881.458,87 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;siconfi-cor_RO1.1.1.2.04.00.00; R$ 59.381.924,85 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;siconfi-cor_RO1.1.1.2.04.34.00; R$ 59.381.924,85 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;"1.1.1.2.08.00.00 - Imposto sobre Transmissão Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI""";siconfi-cor_RO1.1.1.2.08.00.00; R$ 24.657.373,86 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;siconfi-cor_RO1.1.1.3.00.00.00; R$ 188.929.742,15 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;siconfi-cor_RO1.1.1.3.05.00.00; R$ 188.929.742,15 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.2.0.00.00.00 - Taxas;siconfi-cor_RO1.1.2.0.00.00.00; R$ 50.091.837,06 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;siconfi-cor_RO1.1.2.1.00.00.00; R$ 24.489.481,38 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.2.2.00.00.00 - Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.00.00.00; R$ 25.602.355,68 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.2.2.28.00.00 - Taxa de Cemitérios;siconfi-cor_RO1.1.2.2.28.00.00; R$ 922.806,27 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.2.2.90.00.00 - Taxa de Limpeza Pública;siconfi-cor_RO1.1.2.2.90.00.00; R$ 16.740.060,02 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.1.2.2.99.00.00 - Outras Taxas pela Prestação de Serviços;siconfi-cor_RO1.1.2.2.99.00.00; R$ 7.939.489,39 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.0.0.00.00.00 - Receitas de Contribuições;siconfi-cor_RO1.2.0.0.00.00.00; R$ 142.419.715,11 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.1.0.00.00.00 - Contribuições Sociais;siconfi-cor_RO1.2.1.0.00.00.00; R$ 71.917.022,92 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público;siconfi-cor_RO1.2.1.0.29.00.00; R$ 71.917.022,92 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.1.0.29.01.00 - Contribuição Patronal de Servidor Ativo Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.01.00; R$ 217,65 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.1.0.29.07.00 - Contribuição do Servidor Ativo Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.07.00; R$ 66.900.489,51 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.1.0.29.09.00 - Contribuições do Servidor Inativo Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.09.00; R$ 4.443.088,31 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.1.0.29.11.00 - Contribuições de Pensionista Civil para o Regime Próprio;siconfi-cor_RO1.2.1.0.29.11.00; R$ 573.227,45 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública;siconfi-cor_RO1.2.3.0.00.00.00; R$ 70.502.692,19 ;
Prefeitura Municipal de Maceió - AL;2704302;AL;1013773;Receitas Brutas Realizadas;1.3.0.0.00.00.00 - Receita Patrimonial;siconfi-cor_RO1.3.0.0.00.00.00; R$ 53.386.180,26 ;
